CaseID,Activity,Timestamp,MineName,MineType,MineTypeGroup,Inspectorate,MineStatus,AdministeredBy,MineCluster,Region,MineAddress,MineAddressTown,MineAddressState,MineAddressPostalCode,MineDecLat,MineDecLon,EventID,EventType (1A),HazardClass,HazardType,Incident Type (5A),Surface or Underground (5A),Hazard Code Description (5A),InspectionType (MRE),Status (MRE),DisplayTitle (CA),Section (CA),Directive_disp (CA),CANumber
MI01865,Incident,2016-12-04 14:00:00,Middlemount Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,C- Emerald,Central,Dysart Road,MIDDLEMOUNT,QLD,4746.0,-22.88143889,148.63889,1,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01547,Incident,2016-12-29 21:30:00,Broadmeadow Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,,,,,,,-21.83,147.97998,2,High Potential Incident,Mechanical,Other,High potential no lost time,underground,Moving components/parts,,,,,,
MI00749,Incident,2016-12-30 08:45:00,Moorvale Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,,,,,,-21.9697,148.37113,3,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Uneven surfaces,,,,,,
MI01413,Incident,2016-12-31 00:50:00,Weipa,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Townsville Office,,,,,,,-12.67,141.86861,4,High Potential Incident,Vehicle,Collision with another vehicle,High potential no lost time,surface,Restricted visibility,,,,,,
MI00239,Incident,2016-12-31 05:30:00,Rocklands,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Mount Isa Office,,,,,,,-20.65,140.36036,5,High Potential Incident,Gravity,Fall of equipment/material,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI01150,Incident,2016-12-31 10:38:00,Newlands Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Newlands Access Road,Via Glenden,QLD,4743.0,-21.21217,147.88636,6,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01404,Incident,2016-12-31 12:07:00,Oaky North Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,Central,Oaky Creek Mine Access Road,LILYVALE,QLD,4723.0,-23.03935,148.53987,7,High Potential Incident,Gas Management,Withdrawal due to high gas levels or ventilation failure,High potential no lost time,surface,Electrical equipment,,,,,,
MI00254,Incident,2016-12-31 12:40:00,Foxleigh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dysart-Middlemount Road,MIDDLEMOUNT,QLD,4746.0,-22.9836,148.77829,8,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI01546,Incident,2016-12-31 22:30:00,George Fisher Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-20.57,139.47761,9,High Potential Incident,Gravity,Fall of equipment/material,,,,,,,,,
MI01865,Incident,2017-01-01 03:05:00,Middlemount Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,C- Emerald,Central,Dysart Road,MIDDLEMOUNT,QLD,4746.0,-22.88143889,148.63889,10,Serious Accident,Gravity,Fall of people,High potential lost time,surface,Other,,,,,,
MI00054,Incident,2017-01-01 03:10:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,11,High Potential Incident,Gravity,Fall of a structure,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI00054,Incident,2017-01-01 09:05:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,12,High Potential Incident,Gravity,Fall of equipment/material,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI01190,Incident,2017-01-01 16:00:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,13,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01648,Incident,2017-01-01 21:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,14,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01569,Incident,2017-01-02 04:30:00,Rolleston Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-24.44,148.41844,15,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI00159,Incident,2017-01-02 05:30:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,16,High Potential Incident,Vehicle,Rollover,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI00159,Incident,2017-01-02 05:30:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,17,High Potential Incident,Vehicle,Rollover,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI01162,Incident,2017-01-02 20:00:00,Oaky Creek No. 1 Colliery,Coal Mine - Underground,Coal Mine - Underground,COAL,Closed,Rockhampton Office,,Central,,,,,-23.07071,148.49695,18,High Potential Incident,Electrical,Cable Damage,High potential no lost time,underground,Electrical equipment,,,,,,
MI01150,Incident,2017-01-02 21:10:00,Newlands Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Newlands Access Road,Via Glenden,QLD,4743.0,-21.21217,147.88636,19,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01150,Incident,2017-01-02 21:10:00,Newlands Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Newlands Access Road,Via Glenden,QLD,4743.0,-21.21217,147.88636,20,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI03557,Inspection,2017-01-03 00:00:00,Burton's Quarry,Metalliferous - Quarry,Quarry,MMQ,Closed,Townsville Office,T- Ingham / Cardwell / Tully,Northern,38 Mission Beach Road,Tully,QLD,4854.0,-17.92599,145.95591,21,,,,,,,Inspection - Unannounced,Closed,,,,
MI01718,Inspection,2017-01-03 00:00:00,Mount Wright,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Care and Maintenance,Townsville Office,,,,,,,-20.04294,146.83161,22,,,,,,,Inspection,Closed,,,,
MI02657,Incident,2017-01-03 14:30:00,Ernest Henry - Underground,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,MI- Cloncurry,Northern,,,,,-20.44599,140.702589,23,High Potential Incident,Thermal,Fire,High potential no lost time,underground,Fire(s),,,,,,
MI01648,Inspection,2017-01-04 00:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,24,,,,,,,Inspection,Closed,,,,
MI01586,Inspection,2017-01-04 00:00:00,Baralaba Coal Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,5160 Duaringa-Baralaba Road,BARALABA,QLD,4702.0,-24.1593,149.79554,25,,,,,,,Inspection,Closed,,,,
MI00159,Inspection,2017-01-04 00:00:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,26,,,,,,,Inspection,Closed,,,,
MI01361,Inspection,2017-01-04 00:00:00,Withcott Quarry,Metalliferous - Quarry,Quarry,MMQ,Care & Maintenance,Brisbane Office,B- Lockyer Valley,Southern,"Lot 11
McNamaras Road",Withcott,QLD,4352.0,-27.51027778,152.00063,27,,,,,,,Inspection,Closed,,,,
MI01344,Inspection,2017-01-04 00:00:00,Wellcamp Downs Quarry,Metalliferous - Quarry,Quarry,MMQ,Operating,Brisbane Office,B- Toowoomba,Southern,,,,,-27.54891,151.816645,28,,,,,,,Inspection,Closed,,,,
MI00553,Incident,2017-01-04 04:30:00,Capcoal Surface Coal Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-22.93,148.55146,29,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI00568,Incident,2017-01-04 07:30:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,30,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI02952,Incident,2017-01-04 11:25:00,Caval Ridge Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,,,,,-22.15615,148.05892,31,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Human error/actions,,,,,,
MI00568,Incident,2017-01-04 16:00:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,32,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI02976,Inspection,2017-01-05 00:00:00,Grosvenor Coal Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,Ground Floor 201 Charlotte Street,Brisbane,QLD,4001.0,-21.97533,148.00995,33,,,,,,,Inspection,Closed,,,,
MI00092,Inspection,2017-01-05 00:00:00,Callide Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Biloela Callide Road,BILOELA,QLD,4715.0,-24.3276,150.61872,34,,,,,,,Inspection,Closed,,,,
MI00016,Inspection,2017-01-05 00:00:00,Animasu Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Lockyer Valley,Southern,613 Seventeen mile road,Helidon,QLD,4344.0,-27.51013,152.156195,35,,,,,,,Inspection,Closed,,,,
MI00586,Inspection,2017-01-05 00:00:00,Gurulmundi Bentonite Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Western Downs,Southern,,,,,-26.42235,150.050773,36,,,,,,,Inspection,Closed,,,,
MI01425,Inspection,2017-01-05 00:00:00,West Gurulmundi Bentonite Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Western Downs,Southern,,,,,-26.40667,149.994898,37,,,,,,,Inspection,Closed,,,,
MI00150,Inspection,2017-01-05 00:00:00,Cracow Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Brisbane Office,,,,,,,-25.3,150.28919,38,,,,,,,Inspection,Closed,,,,
MI02509,Inspection,2017-01-05 00:00:00,Pleasure Point Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Lockyer Valley,Southern,,,,,-27.48837,152.141835,39,,,,,,,Inspection - Unannounced,Closed,,,,
MI01459,Incident,2017-01-05 03:00:00,Grasstree Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,Central,,,,,-22.98885,148.57943,40,High Potential Incident,Gravity,Fall of equipment/material,High potential lost time,underground,Other,,,,,,
MI01258,Incident,2017-01-05 05:00:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,41,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01258,Incident,2017-01-05 11:09:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,42,High Potential Incident,Electrical,Other,High potential no lost time,surface,Electrical equipment,,,,,,
MI01361,Action,2017-01-05 12:43:00,Withcott Quarry,Metalliferous - Quarry,Quarry,MMQ,Care & Maintenance,Brisbane Office,B- Lockyer Valley,Southern,"Lot 11
McNamaras Road",Withcott,QLD,4352.0,-27.51027778,152.00063,43,,Thermal,Fire,,,,Inspection,Closed,Substandard Condition or Practice,,,1.0
MI01361,Action,2017-01-05 12:53:00,Withcott Quarry,Metalliferous - Quarry,Quarry,MMQ,Care & Maintenance,Brisbane Office,B- Lockyer Valley,Southern,"Lot 11
McNamaras Road",Withcott,QLD,4352.0,-27.51027778,152.00063,44,,Vehicle,Other,,,,Inspection,Closed,Substandard Condition or Practice,,,2.0
MI01258,Incident,2017-01-05 13:05:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,45,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01258,Incident,2017-01-05 21:10:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,46,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Electrical equipment,,,,,,
MI00568,Incident,2017-01-05 23:20:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,47,High Potential Incident,Psychosocial,Fatigue,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI01586,Inspection,2017-01-06 00:00:00,Baralaba Coal Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,5160 Duaringa-Baralaba Road,BARALABA,QLD,4702.0,-24.1593,149.79554,48,,,,,,,Inspection - Unannounced,Closed,,,,
MI01705,Incident,2017-01-06 00:05:00,Poitrel Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,"Millennium Access Road
Peak Downs Highway",Moranbah,QLD,4744.0,-22.04109,148.26048,49,High Potential Incident,Vehicle,Other,High potential no lost time,surface,Human error/actions,,,,,,
MI01422,Incident,2017-01-06 04:15:00,Kestrel Coal Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,,,,,,-23.26,148.30263,50,High Potential Incident,Electrical,Explosion protected equipment failure,,,,,,,,,
MI00054,Incident,2017-01-06 07:00:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,51,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01400,Incident,2017-01-06 09:00:00,Millennium Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Via Peak Downs Highway,Moranbah,QLD,4744.0,-22.01548,148.25111,52,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01648,Incident,2017-01-06 11:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,53,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI01190,Incident,2017-01-06 12:00:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,54,High Potential Incident,,,,,,,,,,,
MI00750,Incident,2017-01-06 12:18:00,Moranbah North,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,1164 Goonyella Road,Moranbah,QLD,4744.0,-21.88576,147.96564,55,High Potential Incident,Mechanical,Crushed between a load and a structure,High potential lost time,surface,Other,,,,,,
MI00568,Incident,2017-01-06 13:20:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,56,High Potential Incident,,,High potential no lost time,surface,Noxious liquids/gases,,,,,,
MI00239,Incident,2017-01-06 15:00:00,Rocklands,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Mount Isa Office,,,,,,,-20.65,140.36036,57,High Potential Incident,Pressure,Other,High potential no lost time,surface,Moving components/parts,,,,,,
MI01648,Incident,2017-01-06 15:30:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,58,High Potential Incident,,,High potential no lost time,surface,Explosives,,,,,,
MI00568,Incident,2017-01-06 15:30:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,59,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),,,,,,,,,
MI01146,Incident,2017-01-06 21:15:00,New Acland,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,S- Toowoomba,Central,Cherrys Road,MULDU,QLD,4401.0,-27.27034,151.699331,60,High Potential Incident,Gravity,Fall of vehicle,High potential no lost time,surface,Organisational deficiencies,,,,,,
MI00750,Incident,2017-01-07 01:00:00,Moranbah North,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,C- Moranbah,Central,1164 Goonyella Road,Moranbah,QLD,4744.0,-21.88576,147.96564,61,High Potential Incident,Vehicle,Other,High potential no lost time,surface,Other,,,,,,
MI01976,Incident,2017-01-07 06:50:00,Daunia Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,"Millennium Poitrel Access Road
Via Peak Downs Road",Moranbah,QLD,4744.0,-22.04127,148.26852,62,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01976,Incident,2017-01-07 07:20:00,Daunia Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,"Millennium Poitrel Access Road
Via Peak Downs Road",Moranbah,QLD,4744.0,-22.04127,148.26852,63,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01383,Incident,2017-01-07 08:10:00,Minerva Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Care & Maintenance,Rockhampton Office,C- Emerald,Central,Wurba Road,SPRINGSURE,QLD,4722.0,-23.90942,148.06107,64,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI00568,Incident,2017-01-07 12:40:00,Goonyella Riverside,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-21.7581,147.95235,65,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI02952,Incident,2017-01-07 14:15:00,Caval Ridge Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,,,,,-22.15615,148.05892,66,High Potential Incident,Vehicle,Collision with another vehicle,High potential no lost time,surface,Human error/actions,,,,,,
MI01190,Incident,2017-01-07 14:30:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,67,High Potential Incident,Vehicle,Collision with a built or natural structure,High potential no lost time,surface,Human error/actions,,,,,,
MI02952,Incident,2017-01-07 16:20:00,Caval Ridge Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,,,,,-22.15615,148.05892,68,High Potential Incident,Vehicle,Collision with a built or natural structure,High potential no lost time,surface,Human error/actions,,,,,,
MI01404,Incident,2017-01-07 17:15:00,Oaky North Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,Central,Oaky Creek Mine Access Road,LILYVALE,QLD,4723.0,-23.03935,148.53987,69,Serious Accident,Thermal,Dehydration,,,,,,,,,
MI01781,Incident,2017-01-07 20:45:00,Clermont Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Gregory Development Road,Clermont,QLD,4721.0,-22.72688,147.62171,70,High Potential Incident,Thermal,Spontaneous combustion Surface,,,,,,,,,
MI00159,Incident,2017-01-08 01:10:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,71,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI02952,Incident,2017-01-08 04:30:00,Caval Ridge Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,C- Mackay,Central,,,,,-22.15615,148.05892,72,Serious Accident,Gravity,Fall of people,High potential lost time,surface,Other,,,,,,
MI01190,Incident,2017-01-08 08:30:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,73,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Human error/actions,,,,,,
MI02139,Incident,2017-01-08 11:50:00,Cameby Downs Coal Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,S- Western Downs,Central,260 Ryalls Road,MILES,QLD,4415.0,-26.6469,150.333875,74,High Potential Incident,Explosives,Explosives - Misfire identified after firing,High potential no lost time,surface,Explosives,,,,,,
MI01152,Inspection,2017-01-09 00:00:00,Ningi Silica Sand Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Moreton Bay,Southern,,,,,-27.0818,153.089742,75,,,,,,,Inspection,Closed,,,,
MI01705,Incident,2017-01-09 02:15:00,Poitrel Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,"Millennium Access Road
Peak Downs Highway",Moranbah,QLD,4744.0,-22.04109,148.26048,76,High Potential Incident,Vehicle,Other,High potential no lost time,surface,Human error/actions,,,,,,
MI01258,Incident,2017-01-09 02:15:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,77,High Potential Incident,Psychosocial,Micro-sleeps,High potential no lost time,surface,Human error/actions,,,,,,
MI00711,Incident,2017-01-09 08:50:00,Meandu Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,S- South Burnett,Central,Nobby Smith Way,NANANGO,QLD,4615.0,-26.79393,151.89872,78,High Potential Incident,Electrical,Electric Shock,High potential no lost time,surface,Electrical equipment,,,,,,
MI01413,Incident,2017-01-09 09:30:00,Weipa,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Townsville Office,,,,,,,-12.67,141.86861,79,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01413,Incident,2017-01-09 10:30:00,Weipa,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Townsville Office,,,,,,,-12.67,141.86861,80,High Potential Incident,Vehicle,Other,High potential no lost time,surface,Moving vehicles/equipment,,,,,,
MI00586,Action,2017-01-09 10:33:00,Gurulmundi Bentonite Mine,Metalliferous Mine - Surface,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Western Downs,Southern,,,,,-26.42235,150.050773,81,,,,,,,Inspection,Closed,Substandard Condition or Practice,,,1.0
MI00092,Action,2017-01-09 11:56:00,Callide Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Biloela Callide Road,BILOELA,QLD,4715.0,-24.3276,150.61872,82,,,,,,,Inspection,Closed,Substandard Condition or Practice,,,1.0
MI01546,Incident,2017-01-09 16:55:00,George Fisher Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-20.57,139.47761,83,High Potential Incident,Gravity,Fall of equipment/material,High potential no lost time,underground,Falling/flying material/objects,,,,,,
MI01258,Incident,2017-01-09 18:00:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,84,High Potential Incident,Electrical,Cable Damage,High potential no lost time,surface,Human error/actions,,,,,,
MI01258,Incident,2017-01-09 18:00:00,Saraji,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.42214,148.28115,85,High Potential Incident,Electrical,Cable Damage,High potential no lost time,surface,Human error/actions,,,,,,
MI00054,Incident,2017-01-09 21:35:00,Blackwater Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Ardurad Road (Blackwater Rolleston Road),BLACKWATER,QLD,4717.0,-23.7697,148.87879,86,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01547,Inspection,2017-01-10 00:00:00,Broadmeadow Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,,,,,,,-21.83,147.97998,87,,,,,,,Inspection,Closed,,,,
MI01646,Inspection,2017-01-10 00:00:00,Carborough Downs,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Mackay Office,,Central,Peak Downs Highway,Coppabella,QLD,4741.0,-21.99368,148.249,88,,,,,,,Inspection,Closed,,,,
MI01908,Inspection,2017-01-10 00:00:00,Dugald River Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,MI- Cloncurry,Northern,Burke Development Road,Cloncurry,QLD,4824.0,-20.25369,140.159832,89,,,,,,,Inspection,Closed,,,,
MI01707,Inspection,2017-01-10 00:00:00,The Sand And Soil Company,Metalliferous - Quarry,Quarry,MMQ,Operating,Brisbane Office,B- Scenic Rim,Southern,,,,,-27.91395,153.133836,90,,,,,,,Inspection,Closed,,,,
MI01648,Inspection,2017-01-10 00:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,91,,,,,,,Inspection,Closed,,,,
MI01648,Incident,2017-01-10 00:10:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,92,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01586,Action,2017-01-10 01:43:00,Baralaba Coal Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,5160 Duaringa-Baralaba Road,BARALABA,QLD,4702.0,-24.1593,149.79554,93,,,,,,,Inspection - Unannounced,Closed,Directive,168.0,Directive to review safety and health management system and principal hazard management plans,1.0
MI01162,Incident,2017-01-10 05:20:00,Oaky Creek No. 1 Colliery,Coal Mine - Underground,Coal Mine - Underground,COAL,Closed,Rockhampton Office,,Central,,,,,-23.07071,148.49695,94,Serious Accident,Gravity,Fall of people,High potential lost time,underground,Human error/actions,,,,,,
MI01781,Incident,2017-01-10 20:45:00,Clermont Mine - Open Cut,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Gregory Development Road,Clermont,QLD,4721.0,-22.72688,147.62171,95,High Potential Incident,Thermal,Fire,,,,,,,,,
MI00762,Inspection,2017-01-11 00:00:00,Capricorn Copper Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-19.68885,139.36651,96,,,,,,,Inspection,Closed,,,,
MI01144,Inspection,2017-01-11 00:00:00,Nerimbera Quarry,Metalliferous - Quarry,Quarry,MMQ,Operating,Brisbane Office,B- Livingstone,Southern,,,,,-23.392658,150.600234,97,,,,,,,Inspection,Closed,,,,
