CaseID,Activity,Timestamp,MineName,MineType,MineTypeGroup,Inspectorate,MineStatus,AdministeredBy,MineCluster,Region,MineAddress,MineAddressTown,MineAddressState,MineAddressPostalCode,MineDecLat,MineDecLon,EventID,EventType (1A),HazardClass,HazardType,Incident Type (5A),Surface or Underground (5A),Hazard Code Description (5A),InspectionType (MRE),Status (MRE),DisplayTitle (CA),Section (CA),Directive_disp (CA),CANumber
MI00591,Action,2017-03-24 08:29:00,Orbelo Rehabilitation Project,Metalliferous - Minerals Processing,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Gympie,Southern,139 Noosa Rd,Monkland,QLD,4570.0,-26.21329,152.70618,1079,,Non Hazard Specific,Emergency response,,,,Inspection - Weekend or Backshift,Closed,Substandard Condition or Practice,,,1.0
MI00631,Action,2017-03-24 08:42:00,Jellinbah East Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,,BLUFF,QLD,4702.0,-23.38814,148.96074,1080,,,,,,,Inspection,Closed,Recommendation,,,1.0
MI00631,Action,2017-03-24 08:47:00,Jellinbah East Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,,BLUFF,QLD,4702.0,-23.38814,148.96074,1081,,,,,,,Inspection,Closed,Substandard Condition or Practice,,,2.0
MI00631,Action,2017-03-24 08:51:00,Jellinbah East Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,,BLUFF,QLD,4702.0,-23.38814,148.96074,1082,,,,,,,Inspection,Closed,Recommendation,,,3.0
MI00591,Action,2017-03-24 08:56:00,Orbelo Rehabilitation Project,Metalliferous - Minerals Processing,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Gympie,Southern,139 Noosa Rd,Monkland,QLD,4570.0,-26.21329,152.70618,1083,,Non Hazard Specific,Emergency response,,,,Inspection - Weekend or Backshift,Closed,Substandard Condition or Practice,,,2.0
MI00591,Action,2017-03-24 09:00:00,Orbelo Rehabilitation Project,Metalliferous - Minerals Processing,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Gympie,Southern,139 Noosa Rd,Monkland,QLD,4570.0,-26.21329,152.70618,1084,,Non Hazard Specific,Emergency response,,,,Inspection - Weekend or Backshift,Closed,Substandard Condition or Practice,,,3.0
MI00591,Action,2017-03-24 09:10:00,Orbelo Rehabilitation Project,Metalliferous - Minerals Processing,Metalliferous Mine - Surface,MMQ,Operating,Brisbane Office,B- Gympie,Southern,139 Noosa Rd,Monkland,QLD,4570.0,-26.21329,152.70618,1085,,Non Hazard Specific,Risk management,,,,Inspection - Weekend or Backshift,Closed,Directive,163.0,Directive to reduce risk,4.0
MI00685,Action,2017-03-24 09:48:00,Rankins Quarry,Metalliferous - Quarry,Quarry,MMQ,Care & Maintenance,Townsville Office,C- Middlemount,Northern,Lot Cluen Access Road,Dysart,QLD,4745.0,-22.47233,148.168407,1086,,Mechanical,Entangled in rotating plant,,,,Inspection,Closed,Directive,164.0,Directive to suspend operations for unacceptable level of risk,1.0
MI03427,Action,2017-03-24 10:28:00,Jellinbah Plains,Coal Mine - Surface,Coal Mine - Surface,COAL,Closed,Rockhampton Office,,Central,Fitzroy Development Road,BLUFF,QLD,4702.0,-23.32663,148.92329,1087,,,,,,,Inspection,Closed,Substandard Condition or Practice,,,1.0
MI03427,Action,2017-03-24 10:37:00,Jellinbah Plains,Coal Mine - Surface,Coal Mine - Surface,COAL,Closed,Rockhampton Office,,Central,Fitzroy Development Road,BLUFF,QLD,4702.0,-23.32663,148.92329,1088,,,,,,,Inspection,Closed,Substandard Condition or Practice,,,2.0
MI03427,Action,2017-03-24 10:44:00,Jellinbah Plains,Coal Mine - Surface,Coal Mine - Surface,COAL,Closed,Rockhampton Office,,Central,Fitzroy Development Road,BLUFF,QLD,4702.0,-23.32663,148.92329,1089,,,,,,,Inspection,Closed,Substandard Condition or Practice,,,3.0
MI00159,Incident,2017-03-24 12:30:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,1090,Serious Accident,Gravity,Fall of people,Lost time,surface,Falling/flying material/objects,,,,,,
MI01404,Incident,2017-03-24 22:09:00,Oaky North Mine,Coal Mine - Underground,Coal Mine - Underground,COAL,Operating,Rockhampton Office,,Central,Oaky Creek Mine Access Road,LILYVALE,QLD,4723.0,-23.03935,148.53987,1091,High Potential Incident,Electrical,Withdrawal due to power failurer,High potential no lost time,surface,Other,,,,,,
MI01573,Incident,2017-03-25 02:00:00,South Walker Creek,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,Via Peak Downs Highway,Nebo,QLD,4744.0,-21.77801,148.48194,1092,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01190,Incident,2017-03-25 05:30:00,Peak Downs,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Mackay Office,,Central,,,,,-22.25686,148.17664,1093,High Potential Incident,Vehicle,Collision with another vehicle,High potential no lost time,surface,Human error/actions,,,,,,
MI01648,Incident,2017-03-25 06:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,1094,High Potential Incident,Vehicle,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Fatigue,,,,,,
MI01569,Incident,2017-03-25 17:15:00,Rolleston Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-24.44,148.41844,1095,High Potential Incident,Pressure,Other,High potential no lost time,surface,Falling/flying material/objects,,,,,,
MI00094,Incident,2017-03-26 00:00:00,Cannington Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Mount Isa Office,,,,,,,-21.86,140.91861,1096,High Potential Incident,Thermal,Fire,High potential no lost time,underground,Hot liquids/materials,,,,,,
MI01432,Incident,2017-03-26 09:45:00,Yarrabee Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Boonal Haul Road,BLACKWATER,QLD,4717.0,-23.27349,149.02261,1097,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI01409,Incident,2017-03-26 11:30:00,Narangba Quarry,Metalliferous - Quarry,Quarry,MMQ,Operating,Brisbane Office,B- Moreton Bay,Southern,Raynbird Road,Narangba,QLD,4504.0,-27.17706,152.883439,1098,High Potential Incident,Explosives,Misfire,High potential no lost time,surface,Explosives,,,,,,
MI00092,Incident,2017-03-26 11:30:00,Callide Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Biloela Callide Road,BILOELA,QLD,4715.0,-24.3276,150.61872,1099,Serious Accident,Mechanical,Caught in nip point,High potential lost time,surface,Human error/actions,,,,,,
MI01432,Incident,2017-03-26 13:30:00,Yarrabee Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Boonal Haul Road,BLACKWATER,QLD,4717.0,-23.27349,149.02261,1100,Serious Accident,Mechanical,Crushed between a load and a structure,High potential no lost time,surface,Human error/actions,,,,,,
MI01648,Incident,2017-03-26 14:00:00,Dawson Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,Central,Dawson Highway,MOURA,QLD,4718.0,-24.63169,150.06089,1101,High Potential Incident,Thermal,Fire,High potential no lost time,surface,Fire(s),,,,,,
MI00150,Incident,2017-03-27 03:30:00,Cracow Mine,Metalliferous Mine - Underground,Metalliferous Mine - Underground,MMQ,Operating,Brisbane Office,,,,,,,-25.3,150.28919,1102,High Potential Incident,Chemical,Exposure to other chemicals,High potential no lost time,underground,Other,,,,,,
MI00159,Incident,2017-03-27 15:38:00,Curragh Mine,Coal Mine - Surface,Coal Mine - Surface,COAL,Operating,Rockhampton Office,,,,,,,-23.49741,148.84478,1103,High Potential Incident,Mechanical,Unplanned movement of equipment (eg CM),High potential no lost time,surface,Moving components/parts,,,,,,
