event_id,timestamp,activity,cluster_id,operation,operation_id
1,0.0,mmap_www-data,0,assign,0
2,0.0,clone_www-data,0,assign,0
3,0.0,munmap_www-data,0,assign,0
4,0.0,close_www-data,0,assign,0
5,0.0,execve_www-data,0,assign,0
6,0.0,openat_www-data,0,assign,0
7,0.0,mmap_www-data,1,assign,0
8,0.0,close_www-data,1,assign,0
9,0.0,openat_www-data,1,assign,0
10,0.0,mmap_www-data,1,assign,0
11,0.0,mmap_www-data,1,assign,0
12,0.0,mmap_www-data,0,assign,0
13,0.0,mmap_www-data,0,assign,0
14,0.0,close_www-data,2,assign,0
15,0.0,munmap_www-data,1,assign,0
16,0.0,clone_www-data,0,assign,0
17,0.0,execve_www-data,0,assign,0
18,0.0,openat_www-data,0,assign,0
19,0.0,mmap_www-data,0,assign,0
20,0.0,close_www-data,2,assign,0
21,0.0,openat_www-data,1,assign,0
22,0.0,mmap_www-data,0,assign,0
23,0.0,mmap_www-data,0,assign,0
24,0.0,mmap_www-data,0,assign,0
25,0.0,mmap_www-data,0,assign,0
26,0.0,close_www-data,1,assign,0
27,4.0,munmap_www-data,1,assign,0
28,4.0,openat_www-data,2,assign,0
29,4.0,close_www-data,3,assign,0
30,4.0,close_www-data,4,assign,0
31,12.0,close_www-data,4,assign,0
32,6079.0,openat_root,0,assign,0
33,6079.0,close_root,0,assign,0
34,6079.0,openat_root,1,assign,0
35,6079.0,openat_root,2,assign,0
36,6079.0,openat_root,2,assign,0
37,6079.0,openat_root,3,assign,0
38,6079.0,openat_root,3,assign,0
39,6079.0,openat_root,3,assign,0
40,6083.0,close_root,1,assign,0
41,6083.0,openat_root,4,assign,0
42,6083.0,openat_root,3,assign,0
43,6083.0,openat_root,4,assign,0
44,6083.0,openat_root,3,assign,0
45,6083.0,openat_root,3,assign,0
46,6083.0,openat_root,3,assign,0
47,6083.0,openat_root,3,assign,0
48,6083.0,openat_root,3,assign,0
49,6087.0,close_root,2,assign,0
50,6087.0,openat_root,5,assign,0
51,6087.0,openat_root,6,assign,0
52,6087.0,close_root,2,assign,0
53,6087.0,openat_root,6,assign,0
54,6087.0,openat_root,3,assign,0
55,6087.0,openat_root,6,assign,0
56,6087.0,openat_root,3,assign,0
57,6087.0,openat_root,3,assign,0
58,6087.0,openat_root,3,assign,0
59,6091.0,close_root,3,assign,0
60,6091.0,openat_root,7,assign,0
61,6091.0,openat_root,3,assign,0
62,6091.0,openat_root,7,assign,0
63,6091.0,openat_root,3,assign,0
64,8055.0,close_root,3,assign,0
65,9519.0,socket_root,0,assign,0
66,9519.0,connect_root,0,assign,0
67,10511.0,mmap_www-data,2,assign,0
68,10511.0,clone_www-data,0,assign,0
69,10511.0,munmap_www-data,0,assign,0
70,10511.0,close_www-data,5,assign,0
71,10511.0,execve_www-data,0,assign,0
72,10511.0,openat_www-data,0,assign,0
73,10511.0,mmap_www-data,3,assign,0
74,10511.0,close_www-data,5,assign,0
75,10511.0,openat_www-data,1,assign,0
76,10511.0,mmap_www-data,3,assign,0
77,10511.0,mmap_www-data,3,assign,0
78,10511.0,mmap_www-data,3,assign,0
79,10511.0,mmap_www-data,3,assign,0
80,10511.0,close_www-data,1,assign,0
81,10511.0,munmap_www-data,1,assign,0
82,10511.0,clone_www-data,0,assign,0
83,10511.0,execve_www-data,0,assign,0
84,10511.0,openat_www-data,2,assign,0
85,10511.0,mmap_www-data,0,assign,0
86,10511.0,close_www-data,3,assign,0
87,10511.0,openat_www-data,1,assign,0
88,10511.0,mmap_www-data,0,assign,0
89,10511.0,mmap_www-data,0,assign,0
90,10511.0,mmap_www-data,0,assign,0
91,10511.0,mmap_www-data,0,assign,0
92,10511.0,close_www-data,1,assign,0
93,10511.0,munmap_www-data,1,assign,0
94,10511.0,openat_www-data,3,assign,0
95,10515.0,close_www-data,6,assign,0
96,10519.0,close_www-data,7,assign,0
97,21935.0,mmap_www-data,4,assign,0
98,21935.0,clone_www-data,0,assign,0
99,21935.0,munmap_www-data,0,assign,0
100,21935.0,close_www-data,7,assign,0
101,21935.0,execve_www-data,0,assign,0
102,21935.0,openat_www-data,0,assign,0
103,21935.0,mmap_www-data,5,assign,0
104,21935.0,close_www-data,0,assign,0
105,21935.0,openat_www-data,3,assign,0
106,21935.0,mmap_www-data,5,assign,0
107,21935.0,mmap_www-data,5,assign,0
108,21935.0,mmap_www-data,4,assign,0
109,21939.0,mmap_www-data,4,assign,0
110,21939.0,close_www-data,7,assign,0
111,21939.0,munmap_www-data,1,assign,0
112,21939.0,clone_www-data,0,assign,0
113,21939.0,execve_www-data,0,assign,0
114,21939.0,openat_www-data,0,assign,0
115,21939.0,mmap_www-data,4,assign,0
116,21939.0,close_www-data,0,assign,0
117,21939.0,openat_www-data,1,assign,0
118,21939.0,mmap_www-data,4,assign,0
119,21939.0,mmap_www-data,4,assign,0
120,21939.0,mmap_www-data,4,assign,0
121,21939.0,mmap_www-data,4,assign,0
122,21939.0,close_www-data,1,assign,0
123,21943.0,munmap_www-data,1,assign,0
124,21943.0,openat_www-data,4,assign,0
125,21943.0,close_www-data,9,assign,0
126,21943.0,close_www-data,10,assign,0
127,21951.0,close_www-data,11,assign,0
128,27223.0,clone_www-data,0,assign,0
129,27223.0,execve_www-data,0,assign,0
130,27223.0,openat_www-data,0,assign,0
131,27223.0,mmap_www-data,0,assign,0
132,27223.0,close_www-data,11,assign,0
133,27223.0,openat_www-data,5,assign,0
134,27223.0,mmap_www-data,0,assign,0
135,27223.0,mmap_www-data,0,assign,0
136,27223.0,mmap_www-data,0,assign,0
137,27223.0,mmap_www-data,0,assign,0
138,27223.0,close_www-data,1,assign,0
139,27223.0,openat_www-data,5,assign,0
140,27223.0,mmap_www-data,0,assign,0
141,27223.0,mmap_www-data,0,assign,0
142,27223.0,close_www-data,9,assign,0
143,27223.0,openat_www-data,6,assign,0
144,27223.0,mmap_www-data,0,assign,0
145,27223.0,mmap_www-data,0,assign,0
146,27223.0,mmap_www-data,0,assign,0
147,27223.0,close_www-data,13,assign,0
148,27223.0,openat_www-data,6,assign,0
149,27223.0,mmap_www-data,0,assign,0
150,27223.0,mmap_www-data,0,assign,0
151,27223.0,close_www-data,13,assign,0
152,27223.0,openat_www-data,7,assign,0
153,27223.0,mmap_www-data,0,assign,0
154,27223.0,mmap_www-data,0,assign,0
155,27223.0,close_www-data,14,assign,0
156,27223.0,openat_www-data,7,assign,0
157,27227.0,mmap_www-data,0,assign,0
158,27227.0,mmap_www-data,0,assign,0
159,27227.0,mmap_www-data,0,assign,0
160,27227.0,mmap_www-data,0,assign,0
161,27227.0,close_www-data,14,assign,0
162,27227.0,mmap_www-data,0,assign,0
163,27227.0,munmap_www-data,2,assign,0
164,27227.0,openat_www-data,8,assign,0
165,27227.0,openat_www-data,8,assign,0
