Dataset_Type,Dataset_Category,Method,N_Datasets,N_Experiments,ARI_Best,ARI_Mean,ARI_Std,NMI_Best,NMI_Mean,NMI_Std,Silhouette_Score_Best,Silhouette_Score_Mean,Silhouette_Score_Std,F-score_Best,F-score_Mean,F-score_Std,Log_Precision_Best,Log_Precision_Mean,Log_Precision_Std,Log_Fitness_Best,Log_Fitness_Mean,Log_Fitness_Std
Real-life,BPIC2012,Label-Refinement,1,125,,,,,,,0.6896732772352403,0.618439700976363,0.058871283308838424,0.6616584676221068,0.576228663072163,0.0350597965739328,0.5172868195094322,0.4105602039597658,0.0410746962671286,1.0,0.9807457250181948,0.0586748197240915
Real-life,BPIC2012,PM-Label-Splitting,1,225,,,,,,,0.7357818591405544,0.6536213289330244,0.05849789179768444,0.613238823358276,0.5419450039238397,0.0435609585366447,0.459948440228995,0.3770799869745371,0.0299196809190099,1.0,0.978381592753844,0.104087330083906
Real-life,BPIC2012,Unrefined,1,5,,,,,,,-0.188360698565669,-0.188360698565669,,0.4906575868219518,0.4868200549507568,0.0026561976063485,0.3250803678065541,0.3217231298459426,0.0023214553972625,1.0,1.0,0.0
Real-life,BPIC2013_Closed_Problems,Label-Refinement,1,125,,,,,,,0.728487222773865,0.6574657524930709,0.030071291833014567,0.9170639111193376,0.8891862569910043,0.0162658400886874,0.9080635302507836,0.881927852655666,0.0166634796033441,0.8811261509443581,0.8119318914345821,0.0510739593213567
Real-life,BPIC2013_Closed_Problems,PM-Label-Splitting,1,225,,,,,,,0.7180042253906254,0.5806256917478071,0.03988994023569542,0.8893149808845093,0.8682577064212046,0.0140196046065982,0.908118133096883,0.8839572588175216,0.0169078413046403,0.8925997565334729,0.8535587523066043,0.0403337863067828
Real-life,BPIC2013_Closed_Problems,Unrefined,1,5,,,,,,,,,,0.7969907588796236,0.7879143687825357,0.0083016434432497,0.82,0.7845965870999285,0.0216386730508792,0.9895152882948884,0.97404038598439,0.0147675698282676
Real-life,BPIC2013_Incidents,Label-Refinement,1,125,,,,,,,0.7322876354112631,0.6259672572319809,0.032035132392670786,0.6542107348131196,0.6342185418420506,0.0112924637143993,0.6630073687979251,0.6127218448222169,0.0393189572107451,0.931312642803802,0.6642757181887602,0.0569070275413143
Real-life,BPIC2013_Incidents,PM-Label-Splitting,1,225,,,,,,,0.7282203246139469,0.6175669902833901,0.031393619775098705,0.6645048770988922,0.6432242451078348,0.0124959698083901,0.6582261319270162,0.6160545578673832,0.0371722441394116,0.8994156116030911,0.6798425710383014,0.0584753525098279
Real-life,BPIC2013_Incidents,Unrefined,1,5,,,,,,,,,,0.6427013151730177,0.6351844670769697,0.0053924807135606,0.5777090473465327,0.5709523299568268,0.0048471736751106,0.7241704959695973,0.7157008079740504,0.0060760346068288
Real-life,BPIC2013_Open_Problems,Label-Refinement,1,125,,,,,,,0.6911942035331622,0.5999897029423658,0.021475477894181312,0.3321999497485146,0.322789318942059,0.0040209830201492,0.3086830072951631,0.2996040500227098,0.0050234984074564,0.3604485059501358,0.3499767442606864,0.0063809473850536
Real-life,BPIC2013_Open_Problems,PM-Label-Splitting,1,225,,,,,,,0.7335535399093986,0.5907878830600314,0.04438257335919587,0.4590344680207198,0.4471323436029403,0.0056772813987942,0.4320500105199144,0.4196794210442157,0.0076005435576452,0.4918927172985354,0.4785940366615838,0.0085442091523944
Real-life,BPIC2013_Open_Problems,Unrefined,1,5,,,,,,,,,,0.4147595697605861,0.4048831059800726,0.0060273961802333,0.3926118280122931,0.379441153159321,0.00761965891236,0.4432804121972357,0.4340634916565429,0.0069164556125755
Real-life,BPIC2017,Label-Refinement,1,125,,,,,,,0.6846187945897276,0.5899046732074908,0.048120758355807106,0.7150888402339064,0.6254857980967821,0.0341587088709006,0.5983902343717444,0.4885978035148612,0.0449932283582191,0.8883321888490612,0.876494417678701,0.0359314519253533
Real-life,BPIC2017,PM-Label-Splitting,1,225,,,,,,,0.6973850871748262,0.6005141646287747,0.03454518409517176,0.6568455479941512,0.5901069120418442,0.0291958697280931,0.5609394445780389,0.4523201303007946,0.0415434262879463,1.0,0.8765599049821319,0.1270123089559759
Real-life,BPIC2017,Unrefined,1,5,,,,,,,-0.166997797021033,-0.166997797021033,,0.5073730039905427,0.5019015183564877,0.0073845263277473,0.3399194878204709,0.3350516211776855,0.0065689053939904,1.0,1.0,0.0
Real-life,Environmental_Permits,Label-Refinement,1,125,,,,,,,0.9862903774788389,0.3987016198819139,0.2064325964067053,0.3039381593736416,0.2415930320281425,0.0303712039809496,0.1982846374934148,0.1492775326581978,0.0224609149164891,0.8662831134004056,0.7192698780775771,0.1908303305702015
Real-life,Environmental_Permits,PM-Label-Splitting,1,225,,,,,,,0.9833177127011848,0.3952932864946643,0.263459640449953,0.40194123763736,0.3229760336489447,0.0346971091279075,0.2721286531524446,0.2199721671055111,0.0245105013632462,1.0,0.6945830089052543,0.2416786351584358
Real-life,Environmental_Permits,Unrefined,1,5,,,,,,,,,,0.293495779738809,0.2866092405902852,0.0053516236374523,0.2021608962452757,0.1945900297432508,0.0053625524482548,0.5547253964839773,0.5441648846387753,0.0077958469161825
Real-life,Road_Traffic_Fines,Label-Refinement,1,125,,,,,,,0.7253330683125829,0.6606482169931144,0.032928117280830206,0.7805825459432784,0.725174631851903,0.0266415030177126,0.6540351924103438,0.5731784215687082,0.0372088063171781,1.0,0.9909922548378356,0.0254451317913066
Real-life,Road_Traffic_Fines,PM-Label-Splitting,1,225,,,,,,,0.6937278899294974,0.6086203127474678,0.040751624869734646,0.8192424479019544,0.776988503780615,0.0183028055112678,0.7139328304494477,0.65,0.0309899368224351,1.0,0.9695180556211794,0.0416729930090662
Real-life,Road_Traffic_Fines,Unrefined,1,5,,,,,,,-0.0263969596623295,-0.0263969596623295,,0.6911187120687977,0.6827787344642131,0.0057537411061872,0.5280224558494294,0.5215839989862047,0.004425913210356,1.0,0.988171699020393,0.0082182245573358
Synthetic,DocReview,Label-Refinement,647,391435,1.0,0.543008407234624,0.4207744201750357,1.0,0.714194302756269,0.247172415300327,1.0,0.4737352563192715,0.3537884367624816,0.8752789842821288,0.5957678032608584,0.0719222469530648,0.792996994186641,0.5201484200753802,0.0727911034368523,1.0,0.7050900030996328,0.0967643892958916
Synthetic,DocReview,PM-Label-Splitting,647,533775,1.0,0.5473487647965498,0.4268448596886792,1.0,0.7214679444524065,0.2536113851194464,1.0,0.4757939834461789,0.3549562886784712,0.9743589743090072,0.7663452508438906,0.0655412486148417,0.95,0.8362600227431807,0.0824364822576974,1.0,0.7127222839278468,0.0798578569346135
Synthetic,DocReview,Unrefined,647,3235,0.999047606470666,0.008886004990638,0.2039788592432096,0.78,0.6015435686316816,0.043361412204758,0.9937966221160254,-0.1411506515519836,0.2536799670510649,0.9644375323814454,0.6864789280117218,0.0761533617731903,0.9313175811554576,0.5669008019524154,0.0766752462390318,1.0,0.8733395656565863,0.0791062583657119
Synthetic,DuplicatedTasks,Label-Refinement,648,392040,1.0,0.5326363510014946,0.4241398764609681,1.0,0.7016568913088339,0.2584234086741244,1.0,0.464485644632051,0.3563903877492785,0.8703219086194584,0.5954103897255294,0.0722138272623409,0.7939960893583995,0.5198092069320331,0.0731727342591461,1.0,0.7047398822324584,0.0968690465782311
Synthetic,DuplicatedTasks,PM-Label-Splitting,648,534600,1.0,0.5363970908519698,0.4256083222946819,1.0,0.7089788934630422,0.258146051513184,1.0,0.4663783998796622,0.3527332679511402,0.9743589743090072,0.7605916060792417,0.0630397762782099,0.95,0.8305252139803605,0.0813273897472769,1.0,0.7071274168465411,0.0777667584172098
Synthetic,DuplicatedTasks,Unrefined,648,3240,0.999286759802631,0.0032627490465158,0.2031576098998452,0.78,0.6009706338381191,0.0432457666630022,0.9884244794353794,-0.124633303110385,0.2587028996964225,0.9743589743090072,0.6934688053675457,0.0781501549688323,0.95,0.573620542020476,0.0790149931703669,1.0,0.8799838064356588,0.0786734434613614
Synthetic,I-PALIA,Label-Refinement,2,1210,0.888137147761296,0.843565975791117,0.0268236166776399,1.0,0.9243033379607868,0.0330751152234764,1.0,0.7685315310088545,0.2976649516789925,0.9833617203590612,0.8174742354837872,0.0636452438762217,1.0,0.8365932841579171,0.0853566135981356,1.0,0.8066005567831747,0.0832402974542361
Synthetic,I-PALIA,PM-Label-Splitting,2,1650,0.8515866414126788,0.8262649905276518,0.012515204289732,0.989958015064842,0.9067964368174593,0.0238279483458779,1.0,0.7597953103307182,0.3211607655784566,0.9818050538994546,0.805318117143455,0.065198439965774,1.0,0.821377247370053,0.0878573183956595,1.0,0.7979722765828176,0.0858415326392183
Synthetic,I-PALIA,Unrefined,2,10,0.0,0.0,0.0,0.5720525414187126,0.5192546496432685,0.0316142733980058,,,,0.7175024909697938,0.6506488208426784,0.0587125542423935,0.5937032655412074,0.540307680036723,0.0465665399787911,0.90653311220866,0.8176697058898229,0.0787917734667455
