2026-08-26 09:03:57,292 - DEBUG - matplotlib data path: /home/savi/duplimend_repro/venv311/lib/python3.11/site-packages/matplotlib/mpl-data
2026-08-26 09:03:57,296 - DEBUG - CONFIGDIR=/home/savi/.config/matplotlib
2026-08-26 09:03:57,297 - DEBUG - interactive is False
2026-08-26 09:03:57,298 - DEBUG - platform is linux
2026-08-26 09:04:04,771 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 10, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,801 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 11, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,808 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 12, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,856 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 13, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,865 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 14, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,896 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 15, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:04,961 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 16, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,000 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 17, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,033 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 18, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,084 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 19, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,138 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 20, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,151 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 21, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,223 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 22, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,232 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 23, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,247 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 24, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,255 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 25, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,274 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 26, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,304 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 27, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,384 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 28, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,415 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 29, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,418 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 30, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,420 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 31, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,474 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 32, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,479 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 33, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,674 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 34, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,688 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 35, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,697 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 36, 'reason': 'update_missing_cluster', 'feature_count': 64}
2026-08-26 09:04:05,708 - DEBUG - CLUSTER_CREATION - RiverDBStream: {'cluster_id': 37, 'reason': 'update_missing_cluster', 'feature_count': 64}
