event_id,timestamp,activity,cluster_id,operation,operation_id
4001,2023-01-14 21:36:00+00:00,A,0,assign,0
4002,2023-01-14 21:46:00+00:00,A,0,assign,0
4003,2023-01-14 21:47:00+00:00,F,0,assign,0
4004,2023-01-14 21:47:00+00:00,C,0,assign,0
4005,2023-01-14 21:49:00+00:00,E1,0,assign,0
4006,2023-01-14 21:50:00+00:00,B1,0,assign,0
4007,2023-01-14 21:51:00+00:00,D,0,assign,0
4008,2023-01-14 21:58:00+00:00,C,0,assign,0
4009,2023-01-14 22:03:00+00:00,D,0,assign,0
4010,2023-01-14 22:04:00+00:00,F,0,assign,0
4011,2023-01-14 22:05:00+00:00,B1,0,assign,0
4012,2023-01-14 22:27:00+00:00,A,1,assign,0
4013,2023-01-14 22:30:00+00:00,B2,0,assign,0
4014,2023-01-14 22:30:00+00:00,B2,0,assign,0
4015,2023-01-14 22:34:00+00:00,E2,0,assign,0
4016,2023-01-14 22:38:00+00:00,C,0,assign,0
4017,2023-01-14 22:39:00+00:00,D,0,assign,0
4018,2023-01-14 22:41:00+00:00,B1,0,assign,0
4019,2023-01-14 22:47:00+00:00,A,2,assign,0
4020,2023-01-14 22:54:00+00:00,A,1,assign,0
4021,2023-01-14 22:56:00+00:00,A,2,assign,0
4022,2023-01-14 22:57:00+00:00,B2,0,assign,0
4023,2023-01-14 22:59:00+00:00,A,0,assign,0
4024,2023-01-14 23:07:00+00:00,C,0,assign,0
4025,2023-01-14 23:10:00+00:00,D,0,assign,0
4026,2023-01-14 23:11:00+00:00,B1,0,assign,0
4027,2023-01-14 23:18:00+00:00,A,2,assign,0
4028,2023-01-14 23:21:00+00:00,A,0,assign,0
4029,2023-01-14 23:24:00+00:00,E1,0,assign,0
4030,2023-01-14 23:37:00+00:00,B2,0,assign,0
4031,2023-01-14 23:40:00+00:00,F,0,assign,0
4032,2023-01-14 23:48:00+00:00,A,2,assign,0
4033,2023-01-14 23:49:00+00:00,E2,0,assign,0
4034,2023-01-14 23:53:00+00:00,A,1,assign,0
4035,2023-01-14 23:59:00+00:00,A,1,assign,0
4036,2023-01-15 00:03:00+00:00,C,0,assign,0
4037,2023-01-15 00:04:00+00:00,D,0,assign,0
4038,2023-01-15 00:06:00+00:00,F,0,assign,0
4039,2023-01-15 00:10:00+00:00,B1,0,assign,0
4040,2023-01-15 00:17:00+00:00,A,3,assign,0
4041,2023-01-15 00:26:00+00:00,C,0,assign,0
4042,2023-01-15 00:29:00+00:00,D,0,assign,0
4043,2023-01-15 00:30:00+00:00,B1,0,assign,0
4044,2023-01-15 00:32:00+00:00,A,0,assign,0
4045,2023-01-15 00:42:00+00:00,A,1,assign,0
4046,2023-01-15 00:51:00+00:00,A,3,assign,0
4047,2023-01-15 00:55:00+00:00,B2,0,assign,0
4048,2023-01-15 00:59:00+00:00,E1,0,assign,0
4049,2023-01-15 01:04:00+00:00,C,0,assign,0
4050,2023-01-15 01:06:00+00:00,B2,0,assign,0
4051,2023-01-15 01:07:00+00:00,D,0,assign,0
4052,2023-01-15 01:11:00+00:00,B1,0,assign,0
4053,2023-01-15 01:21:00+00:00,A,3,assign,0
4054,2023-01-15 01:27:00+00:00,E2,0,assign,0
4055,2023-01-15 01:49:00+00:00,A,1,assign,0
4056,2023-01-15 01:53:00+00:00,A,0,assign,0
4057,2023-01-15 01:53:00+00:00,A,4,assign,0
4058,2023-01-15 01:56:00+00:00,B2,0,assign,0
4059,2023-01-15 01:58:00+00:00,A,0,assign,0
4060,2023-01-15 02:09:00+00:00,E1,0,assign,0
4061,2023-01-15 02:12:00+00:00,C,0,assign,0
4062,2023-01-15 02:17:00+00:00,D,0,assign,0
4063,2023-01-15 02:17:00+00:00,B1,0,assign,0
4064,2023-01-15 02:23:00+00:00,E1,0,assign,0
4065,2023-01-15 02:25:00+00:00,A,4,assign,0
4066,2023-01-15 02:40:00+00:00,E1,0,assign,0
4067,2023-01-15 02:49:00+00:00,E2,0,assign,0
4068,2023-01-15 02:57:00+00:00,E2,0,assign,0
4069,2023-01-15 02:59:00+00:00,B2,0,assign,0
4070,2023-01-15 03:03:00+00:00,A,1,assign,0
4071,2023-01-15 03:14:00+00:00,A,5,assign,0
4072,2023-01-15 03:23:00+00:00,A,0,assign,0
4073,2023-01-15 03:23:00+00:00,C,0,assign,0
4074,2023-01-15 03:24:00+00:00,A,5,assign,0
4075,2023-01-15 03:26:00+00:00,D,0,assign,0
4076,2023-01-15 03:27:00+00:00,B1,0,assign,0
4077,2023-01-15 03:29:00+00:00,E2,0,assign,0
4078,2023-01-15 03:35:00+00:00,F,0,assign,0
4079,2023-01-15 03:44:00+00:00,A,1,assign,0
4080,2023-01-15 03:54:00+00:00,A,5,assign,0
4081,2023-01-15 04:01:00+00:00,B2,0,assign,0
4082,2023-01-15 04:12:00+00:00,C,0,assign,0
4083,2023-01-15 04:15:00+00:00,B1,0,assign,0
4084,2023-01-15 04:16:00+00:00,D,0,assign,0
4085,2023-01-15 04:24:00+00:00,A,3,assign,0
4086,2023-01-15 04:28:00+00:00,A,1,assign,0
4087,2023-01-15 04:35:00+00:00,B2,0,assign,0
4088,2023-01-15 04:40:00+00:00,C,0,assign,0
4089,2023-01-15 04:42:00+00:00,D,0,assign,0
4090,2023-01-15 04:42:00+00:00,B1,0,assign,0
4091,2023-01-15 04:44:00+00:00,A,1,assign,0
4092,2023-01-15 04:46:00+00:00,A,0,assign,0
4093,2023-01-15 05:00:00+00:00,B2,0,assign,0
4094,2023-01-15 05:04:00+00:00,E1,0,assign,0
4095,2023-01-15 05:06:00+00:00,C,0,assign,0
4096,2023-01-15 05:07:00+00:00,D,0,assign,0
4097,2023-01-15 05:10:00+00:00,B1,0,assign,0
4098,2023-01-15 05:15:00+00:00,A,0,assign,0
4099,2023-01-15 05:29:00+00:00,E1,0,assign,0
4100,2023-01-15 05:32:00+00:00,A,0,assign,0
4101,2023-01-15 05:44:00+00:00,B2,0,assign,0
4102,2023-01-15 05:48:00+00:00,E2,0,assign,0
4103,2023-01-15 05:57:00+00:00,E1,0,assign,0
4104,2023-01-15 06:10:00+00:00,E2,0,assign,0
4105,2023-01-15 06:13:00+00:00,A,0,assign,0
4106,2023-01-15 06:14:00+00:00,A,5,assign,0
4107,2023-01-15 06:17:00+00:00,E2,0,assign,0
4108,2023-01-15 06:25:00+00:00,E1,0,assign,0
4109,2023-01-15 06:32:00+00:00,A,1,assign,0
4110,2023-01-15 06:33:00+00:00,A,5,assign,0
4111,2023-01-15 06:37:00+00:00,A,1,assign,0
4112,2023-01-15 06:47:00+00:00,C,0,assign,0
4113,2023-01-15 06:50:00+00:00,D,0,assign,0
4114,2023-01-15 06:51:00+00:00,C,0,assign,0
4115,2023-01-15 06:52:00+00:00,A,1,assign,0
4116,2023-01-15 06:52:00+00:00,B1,0,assign,0
4117,2023-01-15 06:53:00+00:00,D,0,assign,0
4118,2023-01-15 06:55:00+00:00,B1,0,assign,0
4119,2023-01-15 06:56:00+00:00,A,5,assign,0
4120,2023-01-15 07:10:00+00:00,A,1,assign,0
4121,2023-01-15 07:13:00+00:00,E2,0,assign,0
4122,2023-01-15 07:19:00+00:00,C,0,assign,0
4123,2023-01-15 07:21:00+00:00,B2,0,assign,0
4124,2023-01-15 07:24:00+00:00,B1,0,assign,0
4125,2023-01-15 07:24:00+00:00,D,0,assign,0
4126,2023-01-15 07:24:00+00:00,B2,0,assign,0
4127,2023-01-15 07:32:00+00:00,A,1,assign,0
4128,2023-01-15 07:40:00+00:00,C,0,assign,0
4129,2023-01-15 07:40:00+00:00,A,5,assign,0
4130,2023-01-15 07:42:00+00:00,A,1,assign,0
4131,2023-01-15 07:43:00+00:00,D,0,assign,0
4132,2023-01-15 07:45:00+00:00,B1,0,assign,0
4133,2023-01-15 07:55:00+00:00,C,0,assign,0
4134,2023-01-15 07:57:00+00:00,D,0,assign,0
4135,2023-01-15 07:57:00+00:00,B1,0,assign,0
4136,2023-01-15 07:59:00+00:00,B2,0,assign,0
4137,2023-01-15 08:09:00+00:00,C,0,assign,0
4138,2023-01-15 08:12:00+00:00,B2,0,assign,0
4139,2023-01-15 08:13:00+00:00,D,0,assign,0
4140,2023-01-15 08:14:00+00:00,B1,0,assign,0
4141,2023-01-15 08:15:00+00:00,A,0,assign,0
4142,2023-01-15 08:17:00+00:00,B2,0,assign,0
4143,2023-01-15 08:24:00+00:00,A,0,assign,0
4144,2023-01-15 08:33:00+00:00,A,1,assign,0
4145,2023-01-15 08:33:00+00:00,E1,0,assign,0
4146,2023-01-15 08:38:00+00:00,B2,0,assign,0
4147,2023-01-15 08:38:00+00:00,F,0,assign,0
4148,2023-01-15 08:39:00+00:00,A,1,assign,0
4149,2023-01-15 08:43:00+00:00,C,0,assign,0
4150,2023-01-15 08:46:00+00:00,D,0,assign,0
4151,2023-01-15 08:48:00+00:00,B1,0,assign,0
4152,2023-01-15 08:51:00+00:00,A,0,assign,0
4153,2023-01-15 08:57:00+00:00,E2,0,assign,0
4154,2023-01-15 08:59:00+00:00,A,0,assign,0
4155,2023-01-15 09:03:00+00:00,F,0,assign,0
4156,2023-01-15 09:05:00+00:00,A,0,assign,0
4157,2023-01-15 09:09:00+00:00,C,0,assign,0
4158,2023-01-15 09:13:00+00:00,B1,0,assign,0
4159,2023-01-15 09:13:00+00:00,D,0,assign,0
4160,2023-01-15 09:19:00+00:00,F,0,assign,0
4161,2023-01-15 09:20:00+00:00,A,1,assign,0
4162,2023-01-15 09:23:00+00:00,A,3,assign,0
4163,2023-01-15 09:26:00+00:00,A,0,assign,0
4164,2023-01-15 09:27:00+00:00,F,0,assign,0
4165,2023-01-15 09:30:00+00:00,B2,0,assign,0
4166,2023-01-15 09:31:00+00:00,B2,0,assign,0
4167,2023-01-15 09:33:00+00:00,A,1,assign,0
4168,2023-01-15 09:34:00+00:00,A,5,assign,0
4169,2023-01-15 09:38:00+00:00,C,0,assign,0
4170,2023-01-15 09:43:00+00:00,B1,0,assign,0
4171,2023-01-15 09:43:00+00:00,D,0,assign,0
4172,2023-01-15 09:49:00+00:00,E1,0,assign,0
4173,2023-01-15 10:01:00+00:00,A,3,assign,0
4174,2023-01-15 10:03:00+00:00,C,0,assign,0
4175,2023-01-15 10:04:00+00:00,B2,0,assign,0
4176,2023-01-15 10:07:00+00:00,B1,0,assign,0
4177,2023-01-15 10:08:00+00:00,D,0,assign,0
4178,2023-01-15 10:17:00+00:00,A,0,assign,0
4179,2023-01-15 10:24:00+00:00,A,3,assign,0
4180,2023-01-15 10:26:00+00:00,A,0,assign,0
4181,2023-01-15 10:28:00+00:00,A,0,assign,0
4182,2023-01-15 10:28:00+00:00,E2,0,assign,0
4183,2023-01-15 10:34:00+00:00,A,1,assign,0
4184,2023-01-15 10:42:00+00:00,A,3,assign,0
4185,2023-01-15 10:43:00+00:00,F,0,assign,0
4186,2023-01-15 10:44:00+00:00,B2,0,assign,0
4187,2023-01-15 10:47:00+00:00,F,0,assign,0
4188,2023-01-15 10:48:00+00:00,C,0,assign,0
4189,2023-01-15 10:49:00+00:00,F,0,assign,0
4190,2023-01-15 10:50:00+00:00,A,5,assign,0
4191,2023-01-15 10:51:00+00:00,B1,0,assign,0
4192,2023-01-15 10:53:00+00:00,D,0,assign,0
4193,2023-01-15 11:09:00+00:00,B2,0,assign,0
4194,2023-01-15 11:25:00+00:00,A,3,assign,0
4195,2023-01-15 11:34:00+00:00,A,3,assign,0
4196,2023-01-15 11:43:00+00:00,A,0,assign,0
4197,2023-01-15 11:47:00+00:00,A,0,assign,0
4198,2023-01-15 12:01:00+00:00,A,3,assign,0
4199,2023-01-15 12:05:00+00:00,F,0,assign,0
4200,2023-01-15 12:08:00+00:00,F,0,assign,0
4201,2023-01-15 12:44:00+00:00,A,3,assign,0
4202,2023-01-15 13:08:00+00:00,A,3,assign,0
4203,2023-01-15 13:12:00+00:00,A,1,assign,0
4204,2023-01-15 13:22:00+00:00,C,0,assign,0
4205,2023-01-15 13:23:00+00:00,D,0,assign,0
4206,2023-01-15 13:24:00+00:00,B1,0,assign,0
4207,2023-01-15 13:54:00+00:00,B2,0,assign,0
4208,2023-01-15 14:27:00+00:00,A,0,assign,0
4209,2023-01-15 14:40:00+00:00,A,1,assign,0
4210,2023-01-15 14:47:00+00:00,F,0,assign,0
4211,2023-01-15 15:01:00+00:00,C,0,assign,0
4212,2023-01-15 15:02:00+00:00,D,0,assign,0
4213,2023-01-15 15:03:00+00:00,B1,0,assign,0
4214,2023-01-15 15:44:00+00:00,B2,0,assign,0
4215,2023-01-15 15:53:00+00:00,A,3,assign,0
4216,2023-01-15 15:58:00+00:00,A,1,assign,0
4217,2023-01-15 16:02:00+00:00,A,1,assign,0
4218,2023-01-15 16:03:00+00:00,A,1,assign,0
4219,2023-01-15 16:10:00+00:00,C,0,assign,0
4220,2023-01-15 16:13:00+00:00,B1,0,assign,0
4221,2023-01-15 16:13:00+00:00,A,0,assign,0
4222,2023-01-15 16:14:00+00:00,D,0,assign,0
4223,2023-01-15 16:19:00+00:00,C,0,assign,0
4224,2023-01-15 16:19:00+00:00,C,0,assign,0
4225,2023-01-15 16:23:00+00:00,B1,0,assign,0
4226,2023-01-15 16:23:00+00:00,D,0,assign,0
4227,2023-01-15 16:23:00+00:00,D,0,assign,0
4228,2023-01-15 16:24:00+00:00,F,0,assign,0
4229,2023-01-15 16:26:00+00:00,B1,0,assign,0
4230,2023-01-15 16:42:00+00:00,B2,0,assign,0
4231,2023-01-15 16:56:00+00:00,B2,0,assign,0
4232,2023-01-15 17:06:00+00:00,A,1,assign,0
4233,2023-01-15 17:07:00+00:00,B2,0,assign,0
4234,2023-01-15 17:14:00+00:00,A,0,assign,0
4235,2023-01-15 17:24:00+00:00,A,3,assign,0
